Date,PA1436583006-MVC,PA1436583006-P,PA1436583006-PH,PA1436583006-PL,PA1436583006-PO,US22160K1051-MVC,US22160K1051-P,US22160K1051-PH,US22160K1051-PL,US22160K1051-PO,US4581401001-MVC,US4581401001-P,US4581401001-PH,US4581401001-PL,US4581401001-PO,AN8068571086-MVC,AN8068571086-P,AN8068571086-PH,AN8068571086-PL,AN8068571086-PO,PA1436583006-WC01151,PA1436583006-WC02001,PA1436583006-WC02999,PA1436583006-WC03051,PA1436583006-WC03255,PA1436583006-WC05376,PA1436583006-WC08101,PA1436583006-WC08106,PA1436583006-WC08221,PA1436583006-WC08231,PA1436583006-WC08311,PA1436583006-WC08316,PA1436583006-WC18191,US22160K1051-WC01151,US22160K1051-WC02001,US22160K1051-WC02999,US22160K1051-WC03051,US22160K1051-WC03255,US22160K1051-WC05376,US22160K1051-WC08101,US22160K1051-WC08106,US22160K1051-WC08221,US22160K1051-WC08231,US22160K1051-WC08311,US22160K1051-WC08316,US22160K1051-WC18191,US4581401001-WC01151,US4581401001-WC02001,US4581401001-WC02999,US4581401001-WC03051,US4581401001-WC03255,US4581401001-WC05376,US4581401001-WC08101,US4581401001-WC08106,US4581401001-WC08221,US4581401001-WC08231,US4581401001-WC08311,US4581401001-WC08316,US4581401001-WC18191,AN8068571086-WC01151,AN8068571086-WC02001,AN8068571086-WC02999,AN8068571086-WC03051,AN8068571086-WC03255,AN8068571086-WC05376,AN8068571086-WC08101,AN8068571086-WC08106,AN8068571086-WC08221,AN8068571086-WC08231,AN8068571086-WC08311,AN8068571086-WC08316,AN8068571086-WC18191,NASA100-PH,NASA100-PL,NASA100-PO,NASCOMP-PH,NASCOMP-PL,NASCOMP-PO,S&PCOMP-PH,S&PCOMP-PL,S&PCOMP-PO,CBOEVIX-PH,CBOEVIX-PL,CBOEVIX-PO,GOLDBLN-P,GOLDBLN-PH,GOLDBLN-PL,GOLDBLN-PO,OILBREN-P,OILBREN-PH,OILBREN-PL,OILWTXI-P,OILWTXI-PH,OILWTXI-PL,SILVUSL-P,JAPAYE$-ER,USDOLSF-ER,SPXC.SERIESC-I3,SPXC.SERIESC-O1,SPXC.SERIESC-O3,SPXC.SERIESC-O6,SPXC.SERIESC-OI,SPXC.SERIESC-ON,SPXC.SERIESC-OY,SPXC.SERIESC-VI,SPXC.SERIESC-VM,SPXC.SERIESP-I3,SPXC.SERIESP-O1,SPXC.SERIESP-O3,SPXC.SERIESP-O6,SPXC.SERIESP-OI,SPXC.SERIESP-ON,SPXC.SERIESP-OY,SPXC.SERIESP-VI,SPXC.SERIESP-VM,VIXC.SERIESC-O1,VIXC.SERIESC-O3,VIXC.SERIESC-O6,VIXC.SERIESC-OI,VIXC.SERIESC-ON,VIXC.SERIESC-OY,VIXC.SERIESC-VI,VIXC.SERIESC-VM,VIXC.SERIESP-O1,VIXC.SERIESP-O3,VIXC.SERIESP-O6,VIXC.SERIESP-OI,VIXC.SERIESP-ON,VIXC.SERIESP-OY,VIXC.SERIESP-VI,VIXC.SERIESP-VM,USNAPMNO-ES,USPMNBC.Q-ES,USBSINV.B-ES,USCAPUS.R-ES,USCAPUTLQ-ES,USCNFBUSQ-ES,USCNFCONQ-ES,USCRDCONB-ES,USCSHPM%E-ES,USPENONFO-ES,USUMINM1R-ES,ECSWF1Y-IR
2004-01-23,36921.8,43.7,44.02,43.5,43.82,17109.24,37.35,37.43,36.5,36.67,207390.9,31.75,32.01,31.48,31.89,35022.1,29.885,30.235,28.675,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546.69,1519.74,1535.41,2138.41,2108.45,2124.76,1150.31,1136.85,1145.11,15.05,14.56,14.73,409.25,412.75,408.05,412.25,31.61,31.61,31.61,34.9,34.9,34.9,6.345,106.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375
2004-01-26,37306.45,44.35,44.4,43.57,43.7,17003.88,37.12,37.52,36.57,37.37,211832.6,32.43,32.49,31.7,31.74,35777.98,30.53,30.6,29.6,29.93,812000.0,660000.0,27636000.0,1662000.0,7953000.0,400000.0,0.21,0.34,33.54,50.46,27.79,22.44,2185000.0,440721.0,2688638.0,15085793.0,327189.0,1320935.0,92137.0,0.56,1.18,14.67,17.32,2.92,2.85,1415067.0,4889000.0,17172000.0,48143000.0,201000.0,904000.0,1022000.0,2.52,3.0,2.29,2.34,36.93,29.61,10467000.0,1308000.0,2997000.0,15657000.0,716000.0,4660052.0,441219.0,1.2,1.5,41.63,76.18,21.9,14.19,1442000.0,1553.66,1522.95,1526.57,2153.83,2115.34,2120.56,1155.38,1141.0,1141.55,15.78,14.52,15.78,407.75,409.25,405.55,405.75,30.96,30.96,30.96,34.45,34.45,34.45,6.245,106.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
2004-01-27,36810.71,43.52,44.28,43.38,44.28,16806.91,36.69,37.41,36.54,37.21,206607.0,31.63,32.35,31.6,32.3,36328.77,31.0,31.425,30.53,30.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552.54,1519.2,1548.64,2152.75,2116.04,2148.05,1155.37,1144.05,1154.4,15.44,14.74,15.28,410.25,410.75,403.75,404.25,30.8,30.8,30.8,34.05,34.05,34.05,6.24,105.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
2004-01-28,36423.83,42.74,44.1,42.43,43.52,16527.48,36.08,37.16,36.0,37.01,204974.0,31.38,32.2,31.17,31.85,36240.88,30.925,31.245,30.78,30.945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530.06,1488.61,1527.35,2128.0,2073.15,2125.02,1149.14,1126.5,1144.05,17.06,15.29,15.37,411.5,413.0,409.75,409.75,30.31,30.31,30.31,33.59,33.59,33.59,6.54,105.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
2004-01-29,37631.81,44.39,44.85,43.56,44.6,16903.11,36.9,36.9,36.15,36.35,201773.4,30.89,31.561,30.52,31.46,36223.3,30.91,31.175,30.65,30.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.8,1474.13,1499.84,2087.33,2041.07,2085.54,1134.39,1122.38,1128.48,17.66,16.79,16.88,399.65,411.0,397.75,410.0,29.66,29.66,29.66,32.83,32.83,32.83,6.535,106.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5156
2004-01-30,37581.17,44.42,44.57,43.9,44.15,16921.43,36.94,37.48,36.68,36.92,197891.6,30.52,30.99,30.35,30.95,35848.29,30.59,30.985,30.45,30.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505.12,1487.78,1494.88,2078.88,2058.54,2068.36,1134.17,1127.73,1134.11,17.35,16.55,16.55,401.25,402.25,398.25,402.25,29.66,29.66,29.66,33.06,33.06,33.06,6.225,105.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148846.0,,,,,2088.24304,,,,0.4844
2004-02-02,37979.31,44.88,45.06,44.41,44.41,17049.68,37.22,37.61,36.83,36.97,196594.8,30.32,30.95,30.21,30.88,36094.39,30.8,31.025,30.525,30.595,812000.0,660000.0,27636000.0,1662000.0,7953000.0,400000.0,0.21,0.34,33.54,50.46,27.79,22.44,2185000.0,440721.0,2688638.0,15085793.0,327189.0,1320935.0,92137.0,0.56,1.18,14.67,17.32,2.92,2.85,1415067.0,4889000.0,17172000.0,48143000.0,201000.0,904000.0,1022000.0,2.52,3.0,2.29,2.34,36.93,29.61,10467000.0,1308000.0,2997000.0,15657000.0,716000.0,4660052.0,441219.0,1.2,1.5,41.63,76.18,21.9,14.19,1442000.0,1507.59,1481.57,1497.78,2085.49,2053.79,2072.13,1142.58,1127.87,1131.13,17.56,16.67,17.45,398.25,402.45,397.5,401.75,30.56,30.56,30.56,34.86,34.86,34.86,6.205,105.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844
2004-02-03,37493.1,44.0,44.97,43.91,44.8,17008.46,37.13,37.6,37.0,37.11,203597.4,31.4,31.43,30.32,30.41,36111.96,30.815,30.9,30.325,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.07,1482.7,1485.93,2071.44,2057.33,2061.28,1137.44,1131.33,1135.26,17.78,17.17,17.29,403.0,403.5,399.75,401.75,29.86,29.86,29.86,34.18,34.18,34.18,6.175,105.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
2004-02-04,36801.28,43.35,43.96,43.15,43.95,17086.34,37.3,37.82,36.92,37.03,194649.5,30.02,31.0,30.01,30.97,36141.27,30.84,31.13,30.645,30.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1482.35,1461.01,1473.53,2044.68,2013.92,2042.83,1136.03,1124.74,1133.6,18.06,17.46,17.84,399.75,400.95,399.0,399.75,29.28,29.28,29.28,33.12,33.12,33.12,6.08,105.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
2004-02-05,37314.71,43.87,44.18,43.75,43.95,17370.35,37.92,38.15,37.37,38.0,194001.2,29.92,30.44,29.75,30.34,35654.93,30.425,30.885,30.22,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.41,1461.12,1468.96,2031.39,2012.79,2024.48,1131.17,1124.44,1126.52,17.99,17.6,17.91,399.5,401.0,397.25,400.5,29.77,29.77,29.77,33.13,33.13,33.13,6.14,105.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
2004-02-06,37550.31,44.23,44.28,43.87,43.87,17471.13,38.14,38.24,37.74,37.8,200225.8,30.88,30.94,29.99,30.1,35871.72,30.61,30.795,30.4195,30.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1498.95,1470.31,1472.02,2064.01,2025.91,2025.96,1142.79,1128.39,1128.59,17.71,15.94,17.71,402.75,408.75,394.75,398.5,28.97,28.97,28.97,32.44,32.44,32.44,6.095,105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
2004-02-09,37359.58,43.92,44.28,43.89,44.16,17549.0,38.31,38.58,37.71,37.93,198215.8,30.57,31.1,30.48,31.0,36404.94,31.065,31.395,30.685,30.7,812000.0,660000.0,27636000.0,1662000.0,7953000.0,400000.0,0.21,0.34,33.54,50.46,27.79,22.44,2185000.0,440721.0,2688638.0,15085793.0,327189.0,1320935.0,92137.0,0.56,1.18,14.67,17.32,2.92,2.85,1415067.0,4889000.0,17172000.0,48143000.0,201000.0,904000.0,1022000.0,2.52,3.0,2.29,2.34,36.93,29.61,10467000.0,1308000.0,2997000.0,15657000.0,716000.0,4660052.0,441219.0,1.2,1.5,41.63,76.18,21.9,14.19,1442000.0,1503.04,1490.7,1502.32,2074.27,2060.44,2069.29,1144.46,1139.21,1142.74,16.82,16.12,16.54,405.5,407.65,405.25,405.75,29.24,29.24,29.24,32.95,32.95,32.95,6.345,105.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4688
2004-02-10,37253.55,43.86,44.91,43.64,43.77,18052.88,39.41,39.5,38.19,38.25,198021.2,30.54,30.91,30.33,30.675,37184.25,31.73,31.93,31.07,31.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503.83,1489.9,1490.69,2075.33,2060.44,2061.1,1147.02,1138.7,1139.81,16.76,15.84,16.41,408.5,409.85,408.25,408.75,30.18,30.18,30.18,33.92,33.92,33.92,6.435,105.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4688
2004-02-11,37349.81,44.1,44.25,43.6,43.7,17933.78,39.15,39.3,38.71,39.11,200939.0,30.99,31.16,30.53,30.87,37190.11,31.735,31.845,31.355,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514.49,1491.21,1498.08,2089.66,2064.77,2072.9,1158.89,1142.33,1145.54,16.16,15.26,15.9,408.25,408.45,404.75,406.25,30.0,30.0,30.0,33.96,33.96,33.96,6.285,105.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844
2004-02-12,37291.13,43.78,44.72,43.62,44.52,17292.48,37.75,38.71,37.55,38.4,199318.0,30.74,31.38,30.72,30.99,37488.95,31.99,32.16,31.7,31.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516.21,1499.43,1508.19,2091.22,2072.06,2084.02,1157.76,1151.44,1157.76,15.72,15.23,15.36,412.25,413.25,409.95,411.75,30.28,30.28,30.28,33.99,33.99,33.99,6.54,105.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3906
2004-02-13,37920.98,44.43,44.87,44.27,44.8,17228.34,37.61,38.07,37.32,37.84,195427.7,30.14,31.19,29.86,31.02,37518.25,32.015,32.18,31.58,31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510.83,1478.54,1504.7,2085.71,2049.76,2080.17,1156.88,1143.23,1152.71,16.03,14.86,15.12,411.45,416.95,410.05,411.85,31.0,31.0,31.0,34.76,34.76,34.76,6.563,105.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3594
2004-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,,,,,,,,,,,
